2023-10-30 14:25:53,271 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Configure stats pid to 22682
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'oho259ws', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': 'tojxg4s7', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-oho259ws/config-tojxg4s7.yaml'}
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:25:53,272 INFO    MainThread:22682 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142553-tojxg4s7/logs/debug.log
2023-10-30 14:25:53,273 INFO    MainThread:22682 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142553-tojxg4s7/logs/debug-internal.log
2023-10-30 14:25:53,273 INFO    MainThread:22682 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:25:53,273 INFO    MainThread:22682 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 9, 'test_size': 0.30974932366376406}
config: {}
2023-10-30 14:25:53,273 INFO    MainThread:22682 [wandb_init.py:init():618] starting backend
2023-10-30 14:25:53,273 INFO    MainThread:22682 [wandb_init.py:init():622] setting up manager
2023-10-30 14:25:53,284 INFO    MainThread:22682 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:25:53,286 INFO    MainThread:22682 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:25:53,298 INFO    MainThread:22682 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 9, 'test_size': 0.30974932366376406}
2023-10-30 14:25:53,300 INFO    MainThread:22682 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:25:53,314 INFO    MainThread:22682 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:25:53,759 INFO    MainThread:22682 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:25:53,868 INFO    MainThread:22682 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:25:53,868 INFO    MainThread:22682 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:25:53,917 INFO    MainThread:22682 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:25:53,917 INFO    MainThread:22682 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:25:53,917 INFO    MainThread:22682 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:25:53,917 INFO    MainThread:22682 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:25:53,918 INFO    MainThread:22682 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:25:53,921 INFO    MainThread:22682 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/tojxg4s7
2023-10-30 14:25:53,921 INFO    MainThread:22682 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 14:25:53,921 INFO    MainThread:22682 [wandb_run.py:_restore():2151] restore
2023-10-30 14:25:53,921 INFO    MainThread:22682 [wandb_run.py:_restore():2157] restore done
2023-10-30 14:25:58,930 INFO    MainThread:22682 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 14:25:58,931 INFO    MainThread:22682 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 14:25:58,940 INFO    MainThread:22682 [wandb_run.py:_footer_sync_info():3558] logging synced files
