2023-10-30 14:22:00,242 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Configure stats pid to 22115
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'oho259ws', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': '3fi6ku92', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-oho259ws/config-3fi6ku92.yaml'}
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142200-3fi6ku92/logs/debug.log
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142200-3fi6ku92/logs/debug-internal.log
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2, 'test_size': 0.343017950471314}
config: {}
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:init():618] starting backend
2023-10-30 14:22:00,243 INFO    MainThread:22115 [wandb_init.py:init():622] setting up manager
2023-10-30 14:22:00,248 INFO    MainThread:22115 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:22:00,248 INFO    MainThread:22115 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:22:00,255 INFO    MainThread:22115 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2, 'test_size': 0.343017950471314}
2023-10-30 14:22:00,255 INFO    MainThread:22115 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:22:00,267 INFO    MainThread:22115 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:22:00,816 INFO    MainThread:22115 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:22:00,919 INFO    MainThread:22115 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:22:00,919 INFO    MainThread:22115 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:22:00,967 INFO    MainThread:22115 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:22:00,967 INFO    MainThread:22115 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:22:00,967 INFO    MainThread:22115 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:22:00,967 INFO    MainThread:22115 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:22:00,968 INFO    MainThread:22115 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:22:00,971 INFO    MainThread:22115 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/3fi6ku92
2023-10-30 14:22:00,971 INFO    MainThread:22115 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 14:22:00,971 INFO    MainThread:22115 [wandb_run.py:_restore():2151] restore
2023-10-30 14:22:00,971 INFO    MainThread:22115 [wandb_run.py:_restore():2157] restore done
2023-10-30 14:22:05,900 INFO    MainThread:22115 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 14:22:05,901 INFO    MainThread:22115 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 14:22:05,908 INFO    MainThread:22115 [wandb_run.py:_footer_sync_info():3558] logging synced files
